Rank ,Himpunan,Tanding,Menang,Seri,Kalah,GM,GK,SG,Poin
1,HMT,34,22,2,10,61,40,21,68
2,KMPN,34,21,5,8,76,38,38,68
3,HMFT,34,19,8,7,67,38,29,65
4,HMM,34,17,10,7,46,24,22,61
5,IMMG,34,17,9,8,58,44,14,60
6,MTM,34,17,9,8,64,37,27,60
7,HMIF,34,15,8,11,48,44,4,53
8,HME,34,15,7,12,50,39,11,52
9,IMG,34,13,10,11,43,44,-1,49
10,HMS,34,13,4,17,49,74,-25,43
11,MTI,34,11,9,14,50,50,0,42
12,HIMATG TERRA,34,12,6,16,46,58,-12,42
13,AMISCA,34,9,14,11,39,34,5,41
14,HMTG GEA,34,12,4,18,49,55,-6,40
15,HMTM PATRA,34,10,7,17,35,45,-10,37
16,KMM,34,9,8,17,34,52,-18,35
17,HIMATIKA,34,7,6,21,41,62,-21,27
18,HMP,34,2,4,28,26,104,-78,10
